KANJI	FURIGANA	PART OF SPEECH
勉強	べんきょう	"Noun, Suru verb, Transitive verb"
取る	とる	"Godan verb with ru ending, Transitive verb"
誰	だれ	Pronoun
お金	おかね	Noun
男	おとこ	"Noun, Noun, used as a prefix"
犬	いぬ	Noun
使う	つかう	"Godan verb with u ending, Transitive verb"
大変	たいへん	Adverb (fukushi)
待つ	まつ	"Godan verb with tsu ending, Transitive verb, Intransitive verb"
作る	つくる	"Godan verb with ru ending, Transitive verb"
後ろ	うしろ	"Noun, Noun which may take the genitive case particle 'no'"
町	まち	Noun
駅	えき	Noun
少し	すこし	Adverb (fukushi)
貴方	あなた	Pronoun
欲しい	ほしい	I-adjective (keiyoushi)
行く	いく	"Godan verb - Iku/Yuku special class, Intransitive verb"
乗る	のる	"Godan verb with ru ending, Intransitive verb"
大きな	おおきな	Pre-noun adjectival (rentaishi)
医者	いしゃ	Noun
終わる	おわる	"Godan verb with ru ending, Intransitive verb, Auxiliary verb"
学生	がくせい	Noun
長い	ながい	I-adjective (keiyoushi)
何の	どの	Pre-noun adjectival (rentaishi)
又	また	Adverb (fukushi)
国	くに	Noun
高い	たかい	I-adjective (keiyoushi)
余り	あまり	"Noun, Noun which may take the genitive case particle 'no'"
難しい	むずかしい	I-adjective (keiyoushi)
友達	ともだち	Noun
本当	ほんとう	"Noun, Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi)"
一つ	ひとつ	Numeric
寝る	ねる	"Ichidan verb, Intransitive verb"
生徒	せいと	Noun
忙しい	いそがしい	I-adjective (keiyoushi)
両親	りょうしん	Noun
泳ぐ	およぐ	"Godan verb with gu ending, Intransitive verb"
立つ	たつ	"Godan verb with tsu ending, Intransitive verb"
出す	だす	"Godan verb with su ending, Transitive verb"
早い	はやい	I-adjective (keiyoushi)
楽しい	たのしい	I-adjective (keiyoushi)
面白い	おもしろい	I-adjective (keiyoushi)
絵	え	Noun
女の子	おんなのこ	"Expressions (phrases, clauses, etc.), Noun"
着る	きる	"Ichidan verb, Transitive verb"
上手	じょうず	"Na-adjective (keiyodoshi), Noun"
古い	ふるい	I-adjective (keiyoushi)
強い	つよい	I-adjective (keiyoushi)
全部	ぜんぶ	"Noun, Noun which may take the genitive case particle 'no', Adverb (fukushi)"
呼ぶ	よぶ	"Godan verb with bu ending, Transitive verb"
午後	ごご	"Noun, Adverb (fukushi)"
掛ける	かける	"Ichidan verb, Transitive verb"
辞書	じしょ	Noun
天気	てんき	Noun
体	からだ	Noun
大きい	おおきい	I-adjective (keiyoushi)
質問	しつもん	"Noun, Suru verb, Transitive verb, Intransitive verb, Noun which may take the genitive case particle 'no'"
夕べ	ゆうべ	"Noun, Adverb (fukushi)"
有名	ゆうめい	Na-adjective (keiyodoshi)
兄	あに	Noun
歌う	うたう	"Godan verb with u ending, Transitive verb, Intransitive verb"
上る	のぼる	"Godan verb with ru ending, Intransitive verb"
鳥	とり	Noun
服	ふく	"Noun, Noun, used as a suffix"
時々	とき々	"Adverb (fukushi), Noun which may take the genitive case particle 'no'"
妹	いもうと	Noun
二つ	ふたつ	Numeric
頼む	たのむ	"Godan verb with mu ending, Transitive verb"
今朝	けさ	"Noun, Adverb (fukushi)"
お父さん	おとうさん	Noun
遅い	おそい	I-adjective (keiyoushi)
薬	くすり	Noun
借りる	かりる	"Ichidan verb, Transitive verb"
庭	にわ	Noun
外国	がいこく	"Noun, Noun which may take the genitive case particle 'no'"
元気	げんき	"Na-adjective (keiyodoshi), Noun"
小さい	ちいさい	I-adjective (keiyoushi)
弟	おとうと	Noun
魚	さかな	Noun
今年	ことし	"Noun, Adverb (fukushi)"
お母さん	おかあさん	Noun
男の子	おとこのこ	"Expressions (phrases, clauses, etc.), Noun"
飛ぶ	とぶ	"Godan verb with bu ending, Intransitive verb"
売る	うる	"Godan verb with ru ending, Transitive verb"
静か	しずか	Na-adjective (keiyodoshi)
休む	やすむ	"Godan verb with mu ending, Intransitive verb"
食べ物	たべもの	Noun
大切	たいせつ	Na-adjective (keiyodoshi)
来週	らいしゅう	"Noun, Adverb (fukushi)"
警官	けいかん	Noun
建物	たてもの	Noun
暖かい	あたたかい	I-adjective (keiyoushi)
降りる	おりる	"Ichidan verb, Intransitive verb"
止まる	とまる	"Godan verb with ru ending, Intransitive verb"
一緒	いっしょ	"Adverb (fukushi), Noun, Noun which may take the genitive case particle 'no'"
先週	せんしゅう	"Noun, Adverb (fukushi)"
白い	しろい	I-adjective (keiyoushi)
二	に	Numeric
少ない	すくない	I-adjective (keiyoushi)
赤い	あかい	I-adjective (keiyoushi)
洗う	あらう	"Godan verb with u ending, Transitive verb"
嫌い	きらい	"Na-adjective (keiyodoshi), Noun"
立派	りっぱ	Na-adjective (keiyodoshi)
暇	ひま	"Noun, Na-adjective (keiyodoshi)"
お茶	おちゃ	Noun
広い	ひろい	I-adjective (keiyoushi)
去年	きょねん	"Noun, Adverb (fukushi)"
大好き	だいすき	Na-adjective (keiyodoshi)
隣	となり	"Noun which may take the genitive case particle 'no', Noun"
女	おんな	"Noun, Noun, used as a prefix"
多分	たぶん	Adverb (fukushi)
切る	きる	"Godan verb with ru ending, Transitive verb"
嫌	いや	"Na-adjective (keiyodoshi), Noun"
毎朝	まいあさ	"Noun, Adverb (fukushi)"
荷物	にもつ	Noun
番号	ばんごう	Noun
返す	かえす	"Godan verb with su ending, Transitive verb"
来年	らいねん	"Noun, Adverb (fukushi)"
明るい	あかるい	I-adjective (keiyoushi)
近い	ちかい	I-adjective (keiyoushi)
向こう	むこう	Noun
始め	はじめ	"Noun, Adverb (fukushi)"
痛い	いたい	I-adjective (keiyoushi)
休み	やすみ	Noun
練習	れんしゅう	"Noun, Suru verb, Transitive verb"
十	じゅう	Numeric
先月	せんげつ	"Noun, Adverb (fukushi)"
上着	うわぎ	Noun
結構	けっこう	Na-adjective (keiyodoshi)
毎年	まいとし	"Adverb (fukushi), Noun"
兄弟	きょうだい	Noun
来月	らいげつ	"Noun, Adverb (fukushi)"
五	ご	Numeric
飲み物	のみもの	Noun
弱い	よわい	I-adjective (keiyoushi)
牛乳	ぎゅうにゅう	Noun
三	さん	Numeric
大丈夫	だいじょうぶ	Na-adjective (keiyodoshi)
黒い	くろい	I-adjective (keiyoushi)
皆さん	みなさん	Noun
半分	はんぶん	"Adverb (fukushi), Noun"
押す	おす	"Godan verb with su ending, Transitive verb"
勤める	つとめる	"Ichidan verb, Transitive verb"
熱い	あつい	I-adjective (keiyoushi)
三つ	みっつ	Numeric
果物	くだもの	Noun
今週	こんしゅう	"Noun, Adverb (fukushi)"
甘い	あまい	I-adjective (keiyoushi)
右	みぎ	"Noun, Noun which may take the genitive case particle 'no'"
晩	ばん	"Noun, Adverb (fukushi)"
幾つ	いくつ	Adverb (fukushi)
大勢	おおぜい	"Noun, Noun which may take the genitive case particle 'no'"
階段	かいだん	Noun
張る	はる	"Godan verb with ru ending, Transitive verb"
夕方	ゆうがた	"Noun, Adverb (fukushi)"
低い	ひくい	I-adjective (keiyoushi)
左	ひだり	"Noun, Noun which may take the genitive case particle 'no'"
毎週	まいしゅう	"Noun, Adverb (fukushi)"
下手	へた	"Na-adjective (keiyodoshi), Noun"
千	せん	Numeric
渡す	わたす	"Godan verb with su ending, Transitive verb"
午前	ごぜん	"Noun, Adverb (fukushi)"
丸い	まるい	I-adjective (keiyoushi)
便利	べんり	Na-adjective (keiyodoshi)
今月	こんげつ	"Noun, Adverb (fukushi)"
浴びる	あびる	"Ichidan verb, Transitive verb"
半	はん	"Noun, Noun, used as a prefix"
洋服	ようふく	Noun
撮る	とる	"Godan verb with ru ending, Transitive verb"
締める	しめる	"Ichidan verb, Transitive verb"
文章	ぶんしょう	Noun
八	はち	Numeric
薄い	うすい	I-adjective (keiyoushi)
横	よこ	Noun
六	ろく	Numeric
四つ	よっつ	Numeric
丈夫	じょうぶ	Na-adjective (keiyodoshi)
毎晩	まいばん	"Noun, Adverb (fukushi)"
東	ひがし	Noun
五つ	いつつ	Numeric
晴れ	はれ	"Noun, Noun which may take the genitive case particle 'no'"
細い	ほそい	I-adjective (keiyoushi)
廊下	ろうか	Noun
太い	ふとい	I-adjective (keiyoushi)
縦	たて	Noun
七つ	ななつ	Numeric
九つ	ここのつ	Numeric
留学生	りゅうがくせい	Noun
一昨年	おととし	"Noun, Adverb (fukushi)"
人	ひと	Noun
居る	いる	"Ichidan verb, Intransitive verb"
其れ	それ	Pronoun
物	もの	Noun
家	いえ	Noun
本	ほん	Noun
迚も	とても	Adverb (fukushi)
会う	あう	"Godan verb with u ending, Intransitive verb"
好き	すき	"Na-adjective (keiyodoshi), Noun"
分かる	わかる	"Godan verb with ru ending, Intransitive verb"
此れ	これ	Pronoun
聞く	きく	"Godan verb with ku ending, Transitive verb"
所	ところ	"Noun, Adverb (fukushi), Suffix"
先	さき	Noun
何時も	いつも	Adverb (fukushi)
書く	かく	"Godan verb with ku ending, Transitive verb"
沢山	たくさん	"Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun, Adverb (fukushi)"
入る	はいる	"Godan verb with ru ending, Intransitive verb"
置く	おく	"Godan verb with ku ending, Transitive verb"
何処	どこ	Pronoun
住む	すむ	"Godan verb with mu ending, Intransitive verb"
食べる	たべる	"Ichidan verb, Transitive verb"
歩く	あるく	"Godan verb with ku ending, Intransitive verb"
働く	はたらく	"Godan verb with ku ending, Intransitive verb"
着く	つく	"Godan verb with ku ending, Intransitive verb"
上	うえ	"Noun, Noun which may take the genitive case particle 'no'"
悪い	わるい	I-adjective (keiyoushi)
教える	おしえる	"Ichidan verb, Transitive verb"
降る	ふる	"Godan verb with ru ending, Intransitive verb"
死ぬ	しぬ	"Godan verb with nu ending, Irregular nu verb, Intransitive verb"
帰る	かえる	"Godan verb with ru ending, Intransitive verb"
忘れる	わすれる	"Ichidan verb, Transitive verb"
多い	おおい	I-adjective (keiyoushi)
出かける	でかける	"Ichidan verb, Intransitive verb"
若い	わかい	I-adjective (keiyoushi)
掛かる	かかる	"Godan verb with ru ending, Intransitive verb"
同じ	おなじ	"Noun or verb acting prenominally, Noun"
起きる	おきる	"Ichidan verb, Intransitive verb"
座る	すわる	"Godan verb with ru ending, Intransitive verb"
店	みせ	Noun
入れる	いれる	"Ichidan verb, Transitive verb"
何方	どなた	Pronoun
一寸	ちょっと	Adverb (fukushi)
疲れる	つかれる	"Ichidan verb, Intransitive verb"
開ける	あける	"Ichidan verb, Transitive verb"
何故	なぜ	Adverb (fukushi)
一日	いちにち	"Noun, Adverb (fukushi)"
寒い	さむい	I-adjective (keiyoushi)
見せる	みせる	"Ichidan verb, Transitive verb"
違う	ちがう	"Godan verb with u ending, Intransitive verb"
如何して	どうして	Adverb (fukushi)
付ける	つける	"Ichidan verb, Transitive verb"
覚える	おぼえる	"Ichidan verb, Transitive verb"
近く	ちかく	"Noun, Noun which may take the genitive case particle 'no', Adverb (fukushi)"
風	かぜ	Noun
困る	こまる	"Godan verb with ru ending, Intransitive verb"
生まれる	うまれる	"Ichidan verb, Intransitive verb"
丁度	ちょうど	Adverb (fukushi)
初めて	はじめて	"Adverb (fukushi), Noun which may take the genitive case particle 'no'"
始まる	はじまる	"Godan verb with ru ending, Intransitive verb"
貸す	かす	"Godan verb with su ending, Transitive verb"
綺麗	きれい	Na-adjective (keiyodoshi)
幾ら	いくら	"Noun, Adverb (fukushi)"
空	そら	Noun
弾く	ひく	"Godan verb with ku ending, Transitive verb"
暑い	あつい	I-adjective (keiyoushi)
遊ぶ	あそぶ	"Godan verb with bu ending, Intransitive verb"
然し	しかし	Conjunction
無くす	なくす	"Godan verb with su ending, Transitive verb"
色々	いろ々	"Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Adverb (fukushi), Adverb taking the 'to' particle, Noun"
渡る	わたる	"Godan verb with ru ending, Intransitive verb"
暗い	くらい	I-adjective (keiyoushi)
此方	こちら	Pronoun
重い	おもい	I-adjective (keiyoushi)
今晩	こんばん	"Noun, Adverb (fukushi)"
美味しい	おいしい	I-adjective (keiyoushi)
消す	けす	"Godan verb with su ending, Transitive verb"
易しい	やさしい	I-adjective (keiyoushi)
閉める	しめる	"Ichidan verb, Transitive verb"
安い	やすい	I-adjective (keiyoushi)
遠い	とおい	I-adjective (keiyoushi)
短い	みじかい	I-adjective (keiyoushi)
晴れる	はれる	"Ichidan verb, Intransitive verb"
曲がる	まがる	"Godan verb with ru ending, Intransitive verb"
消える	きえる	"Ichidan verb, Intransitive verb"
冷たい	つめたい	I-adjective (keiyoushi)
青い	あおい	I-adjective (keiyoushi)
吹く	ふく	"Godan verb with ku ending, Intransitive verb"
頁	ページ	"Noun, Counter"
奥さん	おくさん	Noun
引く	ひく	"Godan verb with ku ending, Transitive verb"
段々	だん々	"Adverb (fukushi), Adverb taking the 'to' particle"
習う	ならう	"Godan verb with u ending, Transitive verb"
彼処	あそこ	Pronoun
狭い	せまい	I-adjective (keiyoushi)
軽い	かるい	I-adjective (keiyoushi)
脱ぐ	ぬぐ	"Godan verb with gu ending, Transitive verb"
万	まん	Numeric
煩い	うるさい	I-adjective (keiyoushi)
並ぶ	ならぶ	"Godan verb with bu ending, Intransitive verb"
吸う	すう	"Godan verb with u ending, Transitive verb"
詰らない	つまらない	I-adjective (keiyoushi)
閉まる	しまる	"Godan verb with ru ending, Intransitive verb"
咲く	さく	"Godan verb with ku ending, Intransitive verb"
真っ直ぐ	まっすぐ	"Na-adjective (keiyodoshi), Adverb (fukushi), Noun"
一	いち	"Numeric, Prefix"
お祖母さん	おばあさん	Noun
其方	そちら	Pronoun
涼しい	すずしい	I-adjective (keiyoushi)
厚い	あつい	I-adjective (keiyoushi)
お兄さん	おにいさん	Noun
お姉さん	おねえさん	Noun
危ない	あぶない	I-adjective (keiyoushi)
並べる	ならべる	"Ichidan verb, Transitive verb"
汚い	きたない	I-adjective (keiyoushi)
お腹	おなか	Noun
不味い	まずい	I-adjective (keiyoushi)
曇る	くもる	"Godan verb with ru ending, Intransitive verb"
ご飯	ごはん	Noun
黄色い	きいろい	I-adjective (keiyoushi)
お菓子	おかし	Noun
磨く	みがく	"Godan verb with ku ending, Transitive verb"
賑やか	にぎやか	Na-adjective (keiyodoshi)
鳴く	なく	"Godan verb with ku ending, Intransitive verb"
夕飯	ゆうはん	Noun
葉書	はがき	Noun
朝ご飯	あさごはん	Noun
Ｙシャツ	シャツ	Noun
六つ	むっつ	Numeric
お手洗い	おてあらい	Noun
お巡りさん	おまわりさん	Noun
零	れい	Noun
差す	さす	"Godan verb with su ending, Intransitive verb"
２０日	はつか	Noun
粁	キロメートル	Noun
八つ	やっつ	Numeric
再来年	さらいねん	"Noun, Adverb (fukushi)"
燐寸	マッチ	Noun
良く	よく	Adverb (fukushi)
其処	そこ	Pronoun
小さな	ちいさな	Pre-noun adjectival (rentaishi)
答える	こたえる	"Ichidan verb, Intransitive verb"
もう一度	もういちど	"Expressions (phrases, clauses, etc.)"
要る	いる	"Godan verb with ru ending, Intransitive verb"
背	せ	Noun
お弁当	おべんとう	Noun
晩御飯	ばんごはん	Noun
昼ご飯	ひるごはん	Noun
でも	でも	Conjunction
等	など	Particle
クラス	クラス	Noun
プール	プール	Noun
中	なか	Noun
テレビ	テレビ	Noun
珈琲	コーヒー	"Noun, Noun which may take the genitive case particle 'no'"
ホテル	ホテル	Noun
ニュース	ニュース	Noun
テーブル	テーブル	Noun
カメラ	カメラ	Noun
タクシー	タクシー	Noun
スポーツ	スポーツ	"Noun, Noun which may take the genitive case particle 'no'"
ラジオ	ラジオ	Noun
ペン	ペン	Noun
レストラン	レストラン	Noun
テスト	テスト	"Noun, Suru verb, Transitive verb"
ベッド	ベッド	Noun
パン	パン	Noun
ナイフ	ナイフ	Noun
シャツ	シャツ	Noun
ネクタイ	ネクタイ	Noun
ギター	ギター	Noun
米	メートル	Noun
セーター	セーター	Noun
アパート	アパート	Noun
ポケット	ポケット	Noun
バター	バター	Noun
キロ	キロ	Prefix
スカート	スカート	Noun
レコード	レコード	Noun
エレベーター	エレベーター	Noun
洋袴	ズボン	Noun
ポスト	ポスト	Noun
コピー	コピー	"Noun, Suru verb, Transitive verb"
シャワー	シャワー	Noun
ハンカチ	ハンカチ	Noun
一昨日	おととい	"Noun, Adverb (fukushi)"
テープ	テープ	Noun
ストーブ	ストーブ	Noun
カップ	カップ	Noun
テープレコーダー	テープレコーダー	Noun
ボールペン	ボールペン	Noun
スプーン	スプーン	Noun
スリッパ	スリッパ	Noun
醤油	しょうゆ	Noun
はい	はい	Wikipedia definition
ペット	ペット	Noun
為る	する	Suru verb - included
彼	あれ	Pronoun
１日	ついたち	Noun
３日	みっか	Noun
２日	ふつか	Noun
５日	いつか	Noun
１０日	とおか	Noun
６日	むいか	Noun
８日	ようか	Noun
９日	ここのか	Noun
来る	くる	"Kuru verb - special class, Intransitive verb"
後	あと	"Noun, Noun which may take the genitive case particle 'no'"
会社	かいしゃ	Noun
一人	ひとり	Noun
二人	ふたり	Noun
側	そば	Noun
否	いいえ	Other forms
辛い	からい	I-adjective (keiyoushi)
門	もん	"Noun, Noun, used as a suffix"
角	かど	Noun
毎月	まいつき	"Adverb (fukushi), Noun"
七	しち	Numeric
伯母さん	おばさん	Noun
四	し	Numeric
お風呂	おふろ	Noun
お酒	おさけ	Noun
入口	いりぐち	Noun
