KANJI	FURIGANA	PART OF SPEECH
周り	まわり	Noun
上げる	あげる	"Ichidan verb, Transitive verb"
腕	うで	Noun
人形	にんぎょう	Noun
文化	ぶんか	Noun
海岸	かいがん	"Noun, Noun which may take the genitive case particle 'no'"
産業	さんぎょう	"Noun, Noun which may take the genitive case particle 'no'"
動物園	どうぶつえん	Noun
美術館	びじゅつかん	Noun
水道	すいどう	Noun
飛行場	ひこうじょう	Noun
葡萄	ぶどう	Noun
事故	じこ	Noun
息子	むすこ	Noun
生活	せいかつ	"Noun, Suru verb, Intransitive verb"
注意	ちゅうい	"Noun, Suru verb"
女性	じょせい	"Noun, Noun which may take the genitive case particle 'no'"
生きる	いきる	"Ichidan verb, Intransitive verb"
船	ふね	Noun
説明	せつめい	"Noun, Suru verb, Transitive verb"
警察	けいさつ	Noun
危険	きけん	"Noun, Na-adjective (keiyodoshi)"
世界	せかい	Noun
戦争	せんそう	"Noun, Suru verb, Intransitive verb"
小説	しょうせつ	Noun
関係	かんけい	"Noun, Suru verb, Intransitive verb"
研究	けんきゅう	"Noun, Suru verb, Transitive verb"
会議	かいぎ	"Noun, Suru verb, Intransitive verb, Transitive verb"
音	おと	"Noun, Noun, used as a suffix"
普通	ふつう	"Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi)"
湖	みずうみ	Noun
夢	ゆめ	Noun
空港	くうこう	Noun
数学	すうがく	Noun
教育	きょういく	"Noun, Suru verb, Transitive verb"
赤ちゃん	あかちゃん	Noun
火	ひ	"Noun, Noun, used as a suffix"
自由	じゆう	"Noun, Na-adjective (keiyodoshi)"
森	もり	Noun
法律	ほうりつ	Noun
気分	きぶん	Noun
壁	かべ	Noun
田舎	いなか	Noun
気	き	Noun
男性	だんせい	"Noun, Noun which may take the genitive case particle 'no'"
地震	じしん	Noun
人口	じんこう	Noun
故障	こしょう	"Noun, Suru verb, Intransitive verb"
残念	ざんねん	"Na-adjective (keiyodoshi), Noun"
島	しま	Noun
教会	きょうかい	Noun
歴史	れきし	Noun
住所	じゅうしょ	Noun
社会	しゃかい	Noun
工場	こうじょう	Noun
趣味	しゅみ	Noun
経済	けいざい	Noun
台風	たいふう	Noun
卒業	そつぎょう	"Noun, Suru verb, Intransitive verb"
雲	くも	Noun
科学	かがく	Noun
光	ひかり	Noun
贈り物	おくりもの	Noun
政治	せいじ	Noun
特別	とくべつ	"Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Adverb (fukushi), Noun"
水泳	すいえい	"Noun, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no'"
講義	こうぎ	"Noun, Suru verb, Transitive verb"
指	ゆび	Noun
生産	せいさん	"Noun, Suru verb, Transitive verb"
会話	かいわ	"Noun, Suru verb, Intransitive verb"
玩具	おもちゃ	Noun
季節	きせつ	"Noun, Noun which may take the genitive case particle 'no'"
翻訳	ほんやく	"Noun, Suru verb, Transitive verb"
貿易	ぼうえき	"Noun, Suru verb, Intransitive verb"
文学	ぶんがく	Noun
葉	は	Noun
交通	こうつう	"Noun, Suru verb"
遊び	あそび	"Noun, Noun, used as a suffix"
道具	どうぐ	Noun
背中	せなか	Noun
背中	せなか	Noun
発音	はつおん	"Noun, Suru verb"
指輪	ゆびわ	Noun
医学	いがく	Noun
漫画	まんが	Noun
鏡	かがみ	Noun
電報	でんぽう	Noun
校長	こうちょう	Noun
郊外	こうがい	Noun
市民	しみん	Noun
国際	こくさい	"Noun which may take the genitive case particle 'no', Noun"
砂	すな	Noun
手袋	てぶくろ	Noun
日記	にっき	Noun
絹	きぬ	Noun
糸	いと	"Noun, Noun, used as a suffix"
文法	ぶんぽう	Noun
神社	じんじゃ	Noun
駐車場	ちゅうしゃじょう	Noun
小学校	しょうがっこう	Noun
展覧会	てんらんかい	Noun
先輩	せんぱい	Noun
西洋	せいよう	Noun
注射	ちゅうしゃ	"Noun, Suru verb, Transitive verb"
坂	さか	Noun
乗り物	のりもの	Noun
旅館	りょかん	Noun
林	はやし	Noun
布団	ふとん	Noun
柔道	じゅうどう	Noun
研究室	けんきゅうしつ	Noun
中学校	ちゅうがっこう	Noun
会議室	かいぎしつ	Noun
公務員	こうむいん	Noun
花見	はなみ	"Noun, Suru verb"
高等学校	こうとうがっこう	Noun
辞典	じてん	Noun
心	こころ	Noun
力	ちから	Noun
喧嘩	けんか	"Noun, Suru verb, Intransitive verb"
天気予報	てんきよほう	Noun
髭	ひげ	Noun
押入れ	おしいれ	Noun
味噌	みそ	Noun
皆	みんな	"Noun, Pronoun, Adverb (fukushi)"
明日	あした	"Noun, Adverb (fukushi)"
掛ける	かける	"Ichidan verb, Transitive verb"
降りる	おりる	"Ichidan verb, Intransitive verb"
彼	かれ	Pronoun
客	きゃく	Noun
祖父	そふ	Noun
高校	こうこう	Noun
近所	きんじょ	"Noun, Noun which may take the genitive case particle 'no'"
番組	ばんぐみ	Noun
見物	けんぶつ	"Noun, Suru verb"
亜米利加	アメリカ	Noun
彼女	かのじょ	Pronoun
思う	おもう	"Godan verb with u ending, Transitive verb"
僕	ぼく	Pronoun
必要	ひつよう	Na-adjective (keiyodoshi)
見える	みえる	"Ichidan verb, Intransitive verb"
考える	かんがえる	"Ichidan verb, Transitive verb"
為	ため	"Noun, Adverb (fukushi)"
始める	はじめる	"Ichidan verb, Transitive verb"
受ける	うける	"Ichidan verb, Transitive verb"
美しい	うつくしい	I-adjective (keiyoushi)
試験	しけん	"Noun, Suru verb, Transitive verb"
親切	しんせつ	"Na-adjective (keiyodoshi), Noun"
失敗	しっぱい	"Noun, Suru verb, Transitive verb, Intransitive verb"
以上	いじょう	"Noun, used as a suffix"
意見	いけん	Noun
決して	けっして	Adverb (fukushi)
十分	じゅうぶん	Na-adjective (keiyodoshi)
試合	しあい	"Noun, Suru verb"
一生懸命	いっしょうけんめい	"Adverb (fukushi), Na-adjective (keiyodoshi), Noun"
子	こ	"Noun, Noun, used as a suffix"
探す	さがす	"Godan verb with su ending, Transitive verb"
急ぐ	いそぐ	"Godan verb with gu ending, Intransitive verb, Transitive verb"
選ぶ	えらぶ	"Godan verb with bu ending, Transitive verb"
送る	おくる	"Godan verb with ru ending, Transitive verb"
必ず	かならず	Adverb (fukushi)
怒る	おこる	"Godan verb with ru ending, Intransitive verb"
最近	さいきん	"Noun, Noun which may take the genitive case particle 'no', Adverb (fukushi)"
払う	はらう	"Godan verb with u ending, Transitive verb"
点	てん	Noun
合う	あう	"Godan verb with u ending, Intransitive verb"
決める	きめる	"Ichidan verb, Transitive verb"
笑う	わらう	"Godan verb with u ending, Intransitive verb"
最初	さいしょ	"Noun which may take the genitive case particle 'no', Noun, Adverb (fukushi)"
反対	はんたい	"Noun, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi)"
妻	つま	Noun
娘	むすめ	Noun
喜ぶ	よろこぶ	Godan verb with bu ending
理由	りゆう	Noun
昔	むかし	"Noun which may take the genitive case particle 'no', Noun, Adverb (fukushi)"
約束	やくそく	"Noun, Suru verb"
思い出す	おもいだす	"Godan verb with su ending, Transitive verb"
変わる	かわる	"Godan verb with ru ending, Intransitive verb"
正しい	ただしい	I-adjective (keiyoushi)
落ちる	おちる	"Ichidan verb, Intransitive verb"
場所	ばしょ	Noun
楽しむ	たのしむ	"Godan verb with mu ending, Transitive verb"
利用	りよう	"Noun, Suru verb, Transitive verb"
間に合う	まにあう	"Godan verb with u ending, Intransitive verb"
今度	こんど	"Noun, Adverb (fukushi)"
予定	よてい	"Noun, Suru verb, Transitive verb"
訪ねる	たずねる	"Ichidan verb, Transitive verb"
赤ん坊	あかんぼう	Noun
進む	すすむ	"Godan verb with mu ending, Intransitive verb"
最後	さいご	Noun
向かう	むかう	"Godan verb with u ending, Intransitive verb"
通る	とおる	"Godan verb with ru ending, Intransitive verb"
興味	きょうみ	Noun
時代	じだい	Noun
途中	とちゅう	"Noun, Adverb (fukushi)"
返事	へんじ	"Noun, Suru verb, Intransitive verb"
気持ち	きもち	Noun
簡単	かんたん	"Na-adjective (keiyodoshi), Noun"
深い	ふかい	I-adjective (keiyoushi)
起こす	おこす	"Godan verb with su ending, Transitive verb"
夫	おっと	Noun
一度	いちど	"Noun, Adverb (fukushi)"
場合	ばあい	"Adverb (fukushi), Noun"
運ぶ	はこぶ	"Godan verb with bu ending, Transitive verb"
今夜	こんや	"Noun, Adverb (fukushi)"
盗む	ぬすむ	"Godan verb with mu ending, Transitive verb"
習慣	しゅうかん	Noun
大抵	たいてい	"Na-adjective (keiyodoshi), Adverb (fukushi), Noun"
残る	のこる	"Godan verb with ru ending, Intransitive verb"
上がる	あがる	"Godan verb with ru ending, Intransitive verb"
席	せき	Noun
値段	ねだん	Noun
将来	しょうらい	"Noun, Adverb (fukushi)"
優しい	やさしい	I-adjective (keiyoushi)
致す	いたす	"Godan verb with su ending, Transitive verb"
空気	くうき	Noun
逃げる	にげる	"Ichidan verb, Intransitive verb"
役に立つ	やくにたつ	"Expressions (phrases, clauses, etc.), Godan verb with tsu ending"
答え	こたえ	Noun
機会	きかい	Noun
機会	きかい	Noun
原因	げんいん	"Noun, Suru verb, Intransitive verb"
火事	かじ	Noun
泥棒	どろぼう	Noun
髪	かみ	Noun
規則	きそく	Noun
行う	おこなう	"Godan verb with u ending, Transitive verb"
代わり	かわり	"Noun, Noun which may take the genitive case particle 'no'"
