KANJI	FURIGANA	PART OF SPEECH
見つかる	みつかる	"Godan verb with ru ending, Intransitive verb"
打つ	うつ	"Godan verb with tsu ending, Transitive verb"
増える	ふえる	"Ichidan verb, Intransitive verb"
厳しい	きびしい	I-adjective (keiyoushi)
迎える	むかえる	"Ichidan verb, Transitive verb"
怖い	こわい	I-adjective (keiyoushi)
社長	しゃちょう	Noun
紹介	しょうかい	"Noun, Suru verb, Transitive verb"
集める	あつめる	"Ichidan verb, Transitive verb"
事務所	じむしょ	Noun
星	ほし	Noun
特に	とくに	Adverb (fukushi)
集まる	あつまる	"Godan verb with ru ending, Intransitive verb"
比べる	くらべる	"Ichidan verb, Transitive verb"
無理	むり	"Na-adjective (keiyodoshi), Noun"
用意	ようい	"Noun, Suru verb, Transitive verb"
落とす	おとす	"Godan verb with su ending, Transitive verb"
壊れる	こわれる	"Ichidan verb, Intransitive verb"
具合	ぐあい	Noun
倒れる	たおれる	"Ichidan verb, Intransitive verb"
味	あじ	Noun
安全	あんぜん	"Noun, Na-adjective (keiyodoshi)"
変	へん	"Na-adjective (keiyodoshi), Noun"
連絡	れんらく	"Noun, Suru verb, Transitive verb"
祖母	そぼ	Noun
大事	だいじ	Na-adjective (keiyodoshi)
壊す	こわす	"Godan verb with su ending, Transitive verb"
下がる	さがる	"Godan verb with ru ending, Intransitive verb"
決まる	きまる	"Godan verb with ru ending, Intransitive verb"
汽車	きしゃ	Noun
確か	たしか	"Na-adjective (keiyodoshi), Noun"
楽しみ	たのしみ	"Na-adjective (keiyodoshi), Noun"
隅	すみ	"Noun, Noun, used as a suffix"
可笑しい	おかしい	I-adjective (keiyoushi)
競争	きょうそう	"Noun, Suru verb, Transitive verb, Intransitive verb"
入院	にゅういん	"Noun, Suru verb, Intransitive verb"
形	かたち	Noun
留守	るす	"Noun, Suru verb, Noun which may take the genitive case particle 'no'"
景色	けしき	Noun
仕方	しかた	Noun
首	くび	Noun
君	きみ	Pronoun
以内	いない	"Noun, Noun, used as a suffix, Adverb (fukushi)"
血	ち	Noun
例えば	たとえば	Adverb (fukushi)
別れる	わかれる	"Ichidan verb, Intransitive verb"
棚	たな	Noun
複雑	ふくざつ	"Na-adjective (keiyodoshi), Noun"
申し上げる	もうしあげる	"Ichidan verb, Transitive verb"
引っ越す	ひっこす	"Godan verb with su ending, Intransitive verb"
品物	しなもの	Noun
技術	ぎじゅつ	Noun
ご存じ	ごぞんじ	Noun
草	くさ	Noun
以下	いか	"Noun, used as a suffix"
両方	りょうほう	"Noun, Noun which may take the genitive case particle 'no'"
倍	ばい	"Noun, Noun which may take the genitive case particle 'no'"
安心	あんしん	"Noun, Na-adjective (keiyodoshi), Suru verb, Intransitive verb"
港	みなと	Noun
大体	だいたい	Adverb (fukushi)
線	せん	"Noun, Noun, used as a suffix"
下げる	さげる	"Ichidan verb, Transitive verb"
虫	むし	Noun
小鳥	ことり	Noun
高校生	こうこうせい	Noun
乗り換える	のりかえる	"Ichidan verb, Transitive verb"
枝	えだ	Noun
寺	てら	Noun
着物	きもの	Noun
店員	てんいん	Noun
帰り	かえり	Noun
終わり	おわり	Noun
通う	かよう	"Godan verb with u ending, Intransitive verb"
柔らかい	やわらかい	I-adjective (keiyoushi)
騒ぐ	さわぐ	"Godan verb with gu ending, Intransitive verb"
丁寧	ていねい	"Na-adjective (keiyodoshi), Noun"
踏む	ふむ	"Godan verb with mu ending, Transitive verb"
裏	うら	Noun
冷える	ひえる	"Ichidan verb, Intransitive verb"
真ん中	まんなか	Noun
表	おもて	Noun
飾る	かざる	"Godan verb with ru ending, Transitive verb"
遠慮	えんりょ	"Noun, Suru verb"
都合	つごう	"Adverb (fukushi), Noun"
暮れる	くれる	"Ichidan verb, Intransitive verb"
昼間	ひるま	"Noun, Adverb (fukushi)"
部長	ぶちょう	Noun
引き出し	ひきだし	Noun
久しぶり	ひさしぶり	"Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun"
急	きゅう	Na-adjective (keiyodoshi)
会場	かいじょう	Noun
踊り	おどり	Noun
地理	ちり	Noun
電灯	でんとう	Noun
又は	または	Conjunction
急行	きゅうこう	"Noun, Suru verb, Noun which may take the genitive case particle 'no'"
細かい	こまかい	I-adjective (keiyoushi)
適当	てきとう	"Na-adjective (keiyodoshi), Noun"
課長	かちょう	Noun
盛ん	さかん	Na-adjective (keiyodoshi)
割合	わりあい	Noun
暖房	だんぼう	"Noun, Suru verb, Transitive verb"
引き出す	ひきだす	"Godan verb with su ending, Transitive verb"
申す	もうす	"Godan verb with su ending, Transitive verb"
売り場	うりば	Noun
退院	たいいん	"Noun, Suru verb, Intransitive verb"
食料品	しょくりょうひん	Noun
新聞社	しんぶんしゃ	Noun
受付	うけつけ	Noun
苦い	にがい	I-adjective (keiyoushi)
講堂	こうどう	Noun
下宿	げしゅく	"Noun, Suru verb"
不便	ふべん	"Noun, Na-adjective (keiyodoshi)"
写す	うつす	"Godan verb with su ending, Transitive verb"
湯	ゆ	Noun
屋上	おくじょう	Noun
工業	こうぎょう	Noun
冷房	れいぼう	"Noun, Suru verb, Transitive verb"
下着	したぎ	Noun
畳	たたみ	Noun
お嬢さん	おじょうさん	Noun
沸かす	わかす	"Godan verb with su ending, Transitive verb"
特急	とっきゅう	Noun
漬ける	つける	"Ichidan verb, Transitive verb"
呉れる	くれる	"Ichidan verb - kureru special class, Transitive verb"
過ぎる	すぎる	"Ichidan verb, Intransitive verb"
積もり	つもり	Noun
殆ど	ほとんど	Adverb (fukushi)
止める	とめる	"Ichidan verb, Transitive verb"
酷い	ひどい	I-adjective (keiyoushi)
遅れる	おくれる	"Ichidan verb, Intransitive verb"
続ける	つづける	"Ichidan verb, Transitive verb, Auxiliary verb"
手伝う	てつだう	"Godan verb with u ending, Transitive verb"
見つける	みつける	"Ichidan verb, Transitive verb"
驚く	おどろく	"Godan verb with ku ending, Intransitive verb"
開く	ひらく	"Godan verb with ku ending, Intransitive verb, Transitive verb"
眠る	ねむる	"Godan verb with ru ending, Intransitive verb"
勝つ	かつ	"Godan verb with tsu ending, Intransitive verb"
聞こえる	きこえる	"Ichidan verb, Intransitive verb"
尋ねる	たずねる	"Ichidan verb, Transitive verb"
慣れる	なれる	"Ichidan verb, Intransitive verb"
泣く	なく	Godan verb with ku ending
似る	にる	"Ichidan verb, Intransitive verb"
屹度	きっと	Adverb (fukushi)
戻る	もどる	"Godan verb with ru ending, Intransitive verb"
調べる	しらべる	"Ichidan verb, Transitive verb"
伝える	つたえる	"Ichidan verb, Transitive verb"
筈	はず	Auxiliary
無くなる	なくなる	"Godan verb with ru ending, Intransitive verb"
動く	うごく	"Godan verb with ku ending, Intransitive verb"
知らせる	しらせる	"Ichidan verb, Transitive verb"
続く	つづく	"Godan verb with ku ending, Intransitive verb"
別	べつ	Noun
鳴る	なる	"Godan verb with ru ending, Intransitive verb"
市	し	"Noun, Noun, used as a suffix"
負ける	まける	"Ichidan verb, Intransitive verb"
悲しい	かなしい	I-adjective (keiyoushi)
亡くなる	なくなる	"Godan verb with ru ending, Intransitive verb"
以外	いがい	"Noun, Adverb (fukushi)"
直す	なおす	"Godan verb with su ending, Transitive verb"
暫く	しばらく	"Adverb (fukushi), Suru verb"
間違える	まちがえる	"Ichidan verb, Transitive verb"
回る	まわる	"Godan verb with ru ending, Intransitive verb"
捨てる	すてる	"Ichidan verb, Transitive verb"
確り	しっかり	"Adverb (fukushi), Adverb taking the 'to' particle, Suru verb"
育てる	そだてる	"Ichidan verb, Transitive verb"
褒める	ほめる	"Ichidan verb, Transitive verb"
石	いし	Noun
恥ずかしい	はずかしい	I-adjective (keiyoushi)
塗る	ぬる	"Godan verb with ru ending, Transitive verb"
泊まる	とまる	"Godan verb with ru ending, Intransitive verb"
片付ける	かたづける	"Ichidan verb, Transitive verb"
止む	やむ	"Godan verb with mu ending, Intransitive verb"
遠く	とおく	"Noun, Adverb (fukushi), Noun which may take the genitive case particle 'no'"
済む	すむ	"Godan verb with mu ending, Intransitive verb"
到頭	とうとう	Adverb (fukushi)
捕まえる	つかまえる	"Ichidan verb, Transitive verb"
踊る	おどる	"Godan verb with ru ending, Intransitive verb"
足りる	たりる	"Ichidan verb, Intransitive verb"
治る	なおる	"Godan verb with ru ending, Intransitive verb"
為さる	なさる	"Godan verb - -aru special class, Transitive verb"
硬い	かたい	I-adjective (keiyoushi)
建てる	たてる	"Ichidan verb, Transitive verb"
凄い	すごい	I-adjective (keiyoushi)
謝る	あやまる	Godan verb with ru ending
此れから	これから	"Noun, Adverb (fukushi)"
立てる	たてる	"Ichidan verb, Transitive verb"
寂しい	さびしい	I-adjective (keiyoushi)
濡れる	ぬれる	"Ichidan verb, Intransitive verb"
投げる	なげる	"Ichidan verb, Transitive verb"
太る	ふとる	"Godan verb with ru ending, Intransitive verb"
寄る	よる	"Godan verb with ru ending, Intransitive verb"
歯医者	はいしゃ	Noun
召し上がる	めしあがる	"Godan verb with ru ending, Transitive verb"
参る	まいる	"Godan verb with ru ending, Intransitive verb"
珍しい	めずらしい	I-adjective (keiyoushi)
揺れる	ゆれる	"Ichidan verb, Intransitive verb"
祈る	いのる	"Godan verb with ru ending, Transitive verb"
硝子	ガラス	Noun
込む	こむ	"Godan verb with mu ending, Intransitive verb"
折る	おる	"Godan verb with ru ending, Transitive verb"
大学生	だいがくせい	Noun
お礼	おれい	Noun
眠い	ねむい	I-adjective (keiyoushi)
それ程	それほど	Adverb (fukushi)
痩せる	やせる	"Ichidan verb, Intransitive verb"
偶に	たまに	Adverb (fukushi)
噛む	かむ	"Godan verb with mu ending, Transitive verb"
触る	さわる	"Godan verb with ru ending, Intransitive verb, Transitive verb"
億	おく	Numeric
瓦斯	ガス	Noun
掏摸	すり	Noun
焼く	やく	"Godan verb with ku ending, Transitive verb"
なる程	なるほど	Adverb (fukushi)
拾う	ひろう	"Godan verb with u ending, Transitive verb"
割れる	われる	"Ichidan verb, Intransitive verb"
滑る	すべる	"Godan verb with ru ending, Intransitive verb"
些とも	ちっとも	Adverb (fukushi)
お宅	おたく	Noun
折れる	おれる	"Ichidan verb, Intransitive verb"
移る	うつる	"Godan verb with ru ending, Intransitive verb"
植える	うえる	"Ichidan verb, Transitive verb"
光る	ひかる	"Godan verb with ru ending, Intransitive verb"
字	じ	Noun
差し上げる	さしあげる	"Ichidan verb, Transitive verb"
焼ける	やける	"Ichidan verb, Intransitive verb"
お祝い	おいわい	Noun
取り替える	とりかえる	"Ichidan verb, Transitive verb"
乾く	かわく	"Godan verb with ku ending, Intransitive verb"
釣る	つる	"Godan verb with ru ending, Transitive verb"
用事	ようじ	Noun
成るべく	なるべく	Adverb (fukushi)
浅い	あさい	I-adjective (keiyoushi)
苛める	いじめる	"Ichidan verb, Transitive verb"
届ける	とどける	"Ichidan verb, Transitive verb"
床屋	とこや	Noun
拝見	はいけん	"Noun, Suru verb, Transitive verb"
お土産	おみやげ	Noun
予習	よしゅう	"Noun, Suru verb, Transitive verb"
足す	たす	"Godan verb with su ending, Transitive verb"
お釣り	おつり	Noun
寝坊	ねぼう	"Noun, Suru verb, Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no'"
沸く	わく	"Godan verb with ku ending, Intransitive verb"
忘れ物	わすれもの	Noun
復習	ふくしゅう	"Noun, Suru verb, Transitive verb"
ご主人	ごしゅじん	Noun
再来月	さらいげつ	"Noun, Adverb (fukushi)"
再来週	さらいしゅう	"Noun, Adverb (fukushi)"
付く	つく	"Godan verb with ku ending, Intransitive verb"
変える	かえる	"Ichidan verb, Transitive verb"
阿弗利加	アフリカ	Noun
斯う	こう	Adverb (fukushi)
看護師	かんごし	Noun
降り出す	ふりだす	"Godan verb with su ending, Intransitive verb"
けど	けど	"Conjunction, Particle"
日	ひ	Noun
大分	だいぶ	Adverb (fukushi)
間	あいだ	Noun
親	おや	Noun
熱	ねつ	Noun
運転手	うんてんしゅ	Noun
木綿	もめん	Noun
消しゴム	けしゴム	Noun
テニス	テニス	Noun
ピアノ	ピアノ	Noun
コンピュータ	コンピュータ	Noun
ケーキ	ケーキ	Noun
ビル	ビル	Noun
カーテン	カーテン	Noun
ガソリン	ガソリン	Noun
アルコール	アルコール	Noun
サンドイッチ	サンドイッチ	Noun
オートバイ	オートバイ	Noun
サラダ	サラダ	Noun
ガソリンスタンド	ガソリンスタンド	Noun
ソフト	ソフト	"Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no'"
テキスト	テキスト	Noun
ステレオ	ステレオ	Noun
ジャム	ジャム	Noun
アナウンサー	アナウンサー	Noun
パート	パート	Noun
アクセサリー	アクセサリー	Noun
エスカレーター	エスカレーター	Noun
あっ	あっ	Wikipedia definition
スーツケース	スーツケース	Noun
ステーキ	ステーキ	Noun
亜細亜	アジアアジア	Noun
チェック	チェック	"Noun, Noun which may take the genitive case particle 'no'"
サンダル	サンダル	Noun
スクリーン	スクリーン	Noun
開く	あく	"Godan verb with ku ending, Intransitive verb"
一杯	いっぱい	"Noun, Noun which may take the genitive case particle 'no'"
用	よう	Noun
レジ	レジ	Noun
内	うち	"Noun, Adverb (fukushi)"
訳	わけ	Noun
お陰	おかげ	Noun
もう直ぐ	もうすぐ	"Expressions (phrases, clauses, etc.), Adverb (fukushi)"
君	くん	Suffix
包む	つつむ	"Godan verb with mu ending, Transitive verb"
毛	け	Noun
泳ぎ方	およぎかた	Noun
都	と	Noun
家内	かない	Noun
お見舞い	おみまい	Noun
そう	そう	"Auxiliary, Na-adjective (keiyodoshi)"
そんな	そんな	Pre-noun adjectival (rentaishi)
若し	もし	Adverb (fukushi)
止める	やめる	"Ichidan verb, Transitive verb"
非常に	ひじょうに	Adverb (fukushi)
だから	だから	Conjunction
はっきり	はっきり	"Adverb (fukushi), Adverb taking the 'to' particle"
すっかり	すっかり	"Adverb (fukushi), Adverb taking the 'to' particle"
コンサート	コンサート	Noun
漸と	やっと	Adverb (fukushi)
あんな	あんな	Pre-noun adjectival (rentaishi)
プレゼント	プレゼント	"Noun, Suru verb, Transitive verb"
タイプ	タイプ	Noun
レポート	レポート	"Noun, Suru verb, Transitive verb"
そろそろ	そろそろ	"Adverb (fukushi), Adverb taking the 'to' particle"
米	こめ	Noun
ベル	ベル	Noun
いらっしゃる	いらっしゃる	"Godan verb - -aru special class, Intransitive verb"
其れで	それで	Conjunction
どんどん	どんどん	"Adverb (fukushi), Adverb taking the 'to' particle"
スーツ	スーツ	Noun
ワープロ	ワープロ	Noun
ちゃん	ちゃん	Suffix
汚れる	よごれる	"Ichidan verb, Intransitive verb"
パソコン	パソコン	Noun
ご馳走	ごちそう	"Noun, Suru verb, Transitive verb"
この頃	このごろ	"Adverb (fukushi), Noun"
アルバイト	アルバイト	"Noun, Suru verb, Intransitive verb"
ハンドバッグ	ハンドバッグ	Noun
すると	すると	Conjunction
先	さっき	"Noun, Adverb (fukushi)"
其れに	それに	Conjunction
この間	このあいだ	"Noun, Adverb (fukushi)"
ＦＡＸ		"Noun, Suru verb, Transitive verb"
すっと	すっと	"Adverb (fukushi), Suru verb"
そんなに	そんなに	Adverb (fukushi)
仰る	おっしゃる	"Godan verb - -aru special class, Transitive verb"
うん	うん	Other forms
ああ	ああ	Adverb (fukushi)
ご覧になる	ごらんになる	"Expressions (phrases, clauses, etc.), Godan verb with ru ending"
昼休み	ひるやすみ	"Noun, Adverb (fukushi)"
二階建て	にかいだて	Noun
お出でになる	おいでになる	"Expressions (phrases, clauses, etc.), Godan verb with ru ending"
お祭り	おまつり	Noun
端	つま	Noun
